project,89,0.006467553230143158
gutenberg,98,0.007121575466899208
ebook,13,0.0009446987864254052
philosophy,85,0.006176876680473803
united,18,0.0013080444735120995
cost,3,0.00021800741225201656
restrictions,2,0.0001453382748346777
whatsoever,2,0.0001453382748346777
terms,56,0.004069471695370976
license,18,0.0013080444735120995
included,10,0.0007266913741733886
online,4,0.0002906765496693554
located,7,0.000508683961921372
check,4,0.0002906765496693554
laws,33,0.002398081534772182
country,4,0.0002906765496693554
title,1,7.266913741733885e-05
author,1,7.266913741733885e-05
bertrand,3,0.00021800741225201656
russell,3,0.00021800741225201656
release,1,7.266913741733885e-05
june,1,7.266913741733885e-05
1,60,0.004360148245040331
2004,1,7.266913741733885e-05
5827,1,7.266913741733885e-05
updated,2,0.0001453382748346777
december,1,7.266913741733885e-05
5,7,0.000508683961921372
2019,1,7.266913741733885e-05
language,3,0.00021800741225201656
english,1,7.266913741733885e-05
start,9,0.0006540222367560497
produced,4,0.0002906765496693554
gordon,1,7.266913741733885e-05
keener,1,7.266913741733885e-05
preface,1,7.266913741733885e-05
confined,6,0.0004360148245040331
main,7,0.000508683961921372
regard,25,0.0018167284354334715
positive,4,0.0002906765496693554
constructive,1,7.266913741733885e-05
negative,2,0.0001453382748346777
criticism,8,0.0005813530993387108
reason,53,0.0038514642831189595
theory,22,0.0015987210231814548
knowledge,306,0.02223675604970569
occupies,2,0.0001453382748346777
larger,1,7.266913741733885e-05
space,74,0.005377516168883076
metaphysics,4,0.0002906765496693554
volume,1,7.266913741733885e-05
topics,1,7.266913741733885e-05
discussed,2,0.0001453382748346777
philosophers,37,0.002688758084441538
treated,1,7.266913741733885e-05
derived,17,0.0012353753360947605
valuable,4,0.0002906765496693554
assistance,3,0.00021800741225201656
unpublished,1,7.266913741733885e-05
writings,2,0.0001453382748346777
moore,1,7.266913741733885e-05
keynes,1,7.266913741733885e-05
relations,44,0.0031974420463629096
sense,234,0.017004578155657292
data,138,0.010028340963592761
physical,101,0.007339582879151225
objects,95,0.006903568054647191
probability,18,0.0013080444735120995
induction,15,0.0010900370612600828
profited,1,7.266913741733885e-05
greatly,2,0.0001453382748346777
criticisms,1,7.266913741733885e-05
suggestions,1,7.266913741733885e-05
professor,2,0.0001453382748346777
gilbert,1,7.266913741733885e-05
murray,1,7.266913741733885e-05
1912,1,7.266913741733885e-05
chapter,47,0.003415449458614926
appearance,15,0.0010900370612600828
reality,16,0.0011627061986774216
reasonable,7,0.000508683961921372
doubt,38,0.0027614272218588766
question,59,0.004287479107622992
sight,16,0.0011627061986774216
difficult,23,0.0016713901605987936
realized,1,7.266913741733885e-05
obstacles,1,7.266913741733885e-05
straightforward,1,7.266913741733885e-05
confident,2,0.0001453382748346777
answer,27,0.001962066710268149
launched,1,7.266913741733885e-05
study,12,0.0008720296490080662
attempt,16,0.0011627061986774216
ultimate,7,0.000508683961921372
questions,27,0.001962066710268149
carelessly,1,7.266913741733885e-05
dogmatically,2,0.0001453382748346777
ordinary,7,0.000508683961921372
life,32,0.0023254123973548433
sciences,5,0.0003633456870866943
critically,2,0.0001453382748346777
exploring,1,7.266913741733885e-05
puzzling,1,7.266913741733885e-05
realizing,2,0.0001453382748346777
vagueness,1,7.266913741733885e-05
confusion,8,0.0005813530993387108
underlie,1,7.266913741733885e-05
ideas,37,0.002688758084441538
daily,8,0.0005813530993387108
assume,10,0.0007266913741733886
closer,1,7.266913741733885e-05
scrutiny,3,0.00021800741225201656
apparent,13,0.0009446987864254052
contradictions,5,0.0003633456870866943
enables,6,0.0004360148245040331
search,4,0.0002906765496693554
certainty,32,0.0023254123973548433
natural,14,0.001017367923842744
experiences,15,0.0010900370612600828
statement,14,0.001017367923842744
wrong,6,0.0004360148245040331
sitting,4,0.0002906765496693554
chair,2,0.0001453382748346777
table,93,0.006758229779812513
shape,24,0.0017440592980161324
sheets,1,7.266913741733885e-05
paper,2,0.0001453382748346777
writing,5,0.0003633456870866943
print,4,0.0002906765496693554
head,5,0.0003633456870866943
window,1,7.266913741733885e-05
buildings,1,7.266913741733885e-05
clouds,1,7.266913741733885e-05
sun,32,0.0023254123973548433
miles,1,7.266913741733885e-05
earth,9,0.0006540222367560497
hot,1,7.266913741733885e-05
globe,1,7.266913741733885e-05
times,11,0.0007993605115907274
bigger,1,7.266913741733885e-05
rotation,2,0.0001453382748346777
rises,2,0.0001453382748346777
morning,2,0.0001453382748346777
continue,6,0.0004360148245040331
indefinite,2,0.0001453382748346777
time,67,0.004868832206961703
future,26,0.0018893975728508103
normal,4,0.0002906765496693554
person,33,0.002398081534772182
chairs,2,0.0001453382748346777
tables,2,0.0001453382748346777
books,4,0.0002906765496693554
papers,1,7.266913741733885e-05
feel,15,0.0010900370612600828
pressing,1,7.266913741733885e-05
arm,3,0.00021800741225201656
evident,37,0.002688758084441538
worth,5,0.0003633456870866943
stating,2,0.0001453382748346777
doubts,2,0.0001453382748346777
doubted,5,0.0003633456870866943
requires,5,0.0003633456870866943
careful,1,7.266913741733885e-05
discussion,4,0.0002906765496693554
stated,8,0.0005813530993387108
form,36,0.002616088947024199
wholly,17,0.0012353753360947605
true,130,0.00944698786425405
difficulties,7,0.000508683961921372
